,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
227,780,202303,Y,205302,31420.0,0,1,P,80,27,380000,80,5.95,B,N,FRM,GA,SF,31200,F23Q10003295,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
228,753,202303,N,205302,48424.0,0,1,P,80,49,384000,80,5.999,B,N,FRM,FL,PU,33400,F23Q10003311,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N,7
229,811,202303,N,205302,19740.0,0,1,P,64,33,620000,64,5.999,B,N,FRM,CO,PU,80000,F23Q10003337,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,1,N,7
230,760,202303,Y,205302,19740.0,30,1,P,95,43,606000,95,5.999,C,N,FRM,CO,PU,80000,F23Q10003351,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
231,788,202303,N,205302,,12,1,P,82,40,439000,82,6.099,C,N,FRM,NV,SF,89400,F23Q10003358,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
232,734,202304,N,205303,,30,1,P,88,46,285000,88,6.375,R,N,FRM,IL,SF,61300,F23Q10003406,P,360,2,Other sellers,Other servicers,,,9,,2,N,Y
233,637,202303,Y,205302,15764.0,0,1,P,80,45,480000,80,6.25,R,N,FRM,MA,SF,1800,F23Q10003430,P,360,3,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
234,716,202303,N,205302,35614.0,0,1,P,60,27,372000,60,5.625,R,N,FRM,NY,SF,10600,F23Q10003470,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
235,764,202303,N,205302,17140.0,0,1,P,80,44,200000,80,6.5,B,N,FRM,OH,SF,45200,F23Q10003476,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,7
236,792,202303,N,205302,49620.0,0,1,P,58,46,190000,58,6.375,B,N,FRM,PA,SF,17300,F23Q10003485,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
237,778,202303,N,204302,26420.0,25,1,P,95,49,380000,95,6.25,B,N,FRM,TX,PU,77400,F23Q10003535,P,240,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
238,718,202303,Y,203802,40140.0,0,1,P,80,50,480000,80,5.25,B,N,FRM,CA,SF,92500,F23Q10003565,P,180,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
