,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
414,644,202303,Y,205302,16984.0,0,1,P,80,27,168000,80,5.999,B,N,FRM,IL,SF,60000,F23Q10006559,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,7
415,725,202303,N,205302,48620.0,0,1,P,75,49,281000,75,6.5,R,N,FRM,KS,SF,67000,F23Q10006575,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
416,795,202303,N,205302,,0,1,P,80,39,146000,80,6.875,B,N,FRM,NC,MH,28700,F23Q10006589,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
417,742,202303,Y,205302,13140.0,30,1,P,95,36,133000,95,6.125,R,N,FRM,TX,SF,77600,F23Q10006620,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,N
418,669,202303,N,205302,16580.0,25,1,P,90,42,240000,90,7.0,R,N,FRM,IL,PU,61800,F23Q10006627,P,360,1,Other sellers,Other servicers,,,9,,2,N,Y
419,721,202303,N,205302,40140.0,0,1,P,49,49,201000,49,6.875,R,N,FRM,CA,SF,92200,F23Q10006629,C,360,2,Other sellers,ARVEST BANK,,,9,,2,N,7
420,780,202303,N,205302,12060.0,0,1,P,80,31,360000,80,5.75,R,N,FRM,GA,SF,30000,F23Q10006637,P,360,1,Other sellers,Other servicers,,,9,,1,N,7
421,792,202303,N,205302,38060.0,25,1,P,90,42,252000,90,6.5,C,N,FRM,AZ,CO,85000,F23Q10006651,P,360,1,"PLANET HOME LENDING, LLC","PLANET HOME LENDING, LLC",,,9,,2,N,N
422,788,202303,N,205302,49180.0,0,1,P,80,41,306000,80,6.75,R,N,FRM,NC,SF,27100,F23Q10006660,P,360,1,Other sellers,Other servicers,,,9,,1,N,7
423,738,202303,Y,205302,24860.0,25,1,P,90,39,256000,90,6.375,R,N,FRM,SC,PU,29600,F23Q10006668,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
424,787,202303,Y,205302,26900.0,30,1,P,95,26,266000,95,6.25,R,N,FRM,IN,SF,46100,F23Q10006679,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
425,714,202303,Y,205302,38940.0,30,1,P,95,50,278000,95,5.625,R,N,FRM,FL,PU,34900,F23Q10006701,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
426,702,202303,Y,205302,47894.0,25,1,P,96,32,236000,96,6.75,R,N,FRM,VA,CO,20100,F23Q10006702,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,H,,2,N,N
427,806,202303,N,205302,22380.0,0,1,S,75,26,304000,75,6.999,B,N,FRM,AZ,PU,86000,F23Q10006763,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
428,784,202303,Y,205302,49740.0,30,1,P,95,18,299000,95,6.671,B,N,FRM,AZ,SF,85300,F23Q10006764,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
429,801,202303,Y,205302,31084.0,30,1,P,95,33,499000,95,6.999,C,N,FRM,CA,CO,90700,F23Q10006769,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
430,807,202303,N,205302,41940.0,0,1,P,27,40,254000,27,5.875,B,N,FRM,CA,SF,95100,F23Q10006776,N,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
431,652,202303,Y,205302,19124.0,0,1,P,74,43,255000,74,5.999,B,N,FRM,TX,SF,75000,F23Q10006789,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,7
432,797,202303,N,205302,27260.0,0,1,P,54,47,650000,54,5.5,C,N,FRM,FL,PU,32000,F23Q10006817,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
433,768,202303,Y,205302,33124.0,0,1,P,24,49,90000,24,5.999,B,N,FRM,FL,SF,33000,F23Q10006833,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
434,722,202303,Y,205302,16984.0,0,1,P,69,21,100000,69,6.5,B,N,FRM,IL,CO,60500,F23Q10006844,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,1,N,7
435,712,202303,N,205302,37340.0,30,1,P,95,49,508000,95,6.493,B,N,FRM,FL,PU,32900,F23Q10006856,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
436,772,202303,N,205302,36740.0,0,1,P,72,40,280000,72,6.279,B,N,FRM,FL,PU,34700,F23Q10006862,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
437,743,202303,Y,205302,33124.0,30,1,P,95,32,247000,95,6.75,B,N,FRM,FL,CO,33100,F23Q10006937,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
438,661,202303,Y,205302,41304.0,0,1,P,60,47,227000,60,6.764,B,N,FRM,FL,SF,33700,F23Q10006947,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
439,657,202303,Y,205302,45300.0,25,1,P,90,39,231000,90,6.999,C,N,FRM,FL,SF,34600,F23Q10006949,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
440,731,202303,N,203802,43340.0,12,1,P,90,46,273000,90,6.499,C,N,FRM,LA,PU,71100,F23Q10006959,P,180,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,Y
441,744,202303,N,203802,35380.0,0,1,P,80,45,356000,80,6.375,C,N,FRM,LA,SF,70000,F23Q10006961,C,180,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
442,743,202303,Y,205302,23224.0,25,1,P,95,48,385000,95,6.125,B,N,FRM,MD,PU,20800,F23Q10007001,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
443,744,202303,N,205302,19124.0,30,1,P,95,43,313000,95,6.125,C,N,FRM,TX,PU,75100,F23Q10007069,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
444,763,202303,Y,205302,26420.0,25,1,P,90,49,311000,90,5.87,C,N,FRM,TX,PU,77000,F23Q10007072,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
445,713,202303,Y,205302,31084.0,25,1,P,97,40,227000,97,6.375,B,N,FRM,CA,SF,93500,F23Q10007080,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
446,755,202303,Y,205302,35660.0,0,1,P,80,36,118000,80,6.5,R,N,FRM,MI,SF,49000,F23Q10007086,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
447,789,202303,Y,205302,10900.0,25,1,P,97,46,242000,97,6.361,B,N,FRM,NJ,SF,8800,F23Q10007103,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
448,689,202303,N,205302,,12,1,I,85,36,391000,85,7.625,B,N,FRM,TN,SF,37800,F23Q10007139,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
449,765,202303,N,205302,38060.0,0,1,I,59,24,433000,59,7.5,B,N,FRM,AZ,PU,85000,F23Q10007144,N,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
450,702,202303,Y,205302,26420.0,25,1,P,90,45,347000,90,6.25,B,N,FRM,TX,PU,77000,F23Q10007167,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
451,768,202303,N,205302,12060.0,0,1,P,50,22,463000,50,6.25,R,N,FRM,GA,SF,30200,F23Q10007172,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
452,653,202303,Y,205302,,0,1,P,80,38,141000,80,6.0,R,N,FRM,KY,SF,42000,F23Q10007180,P,360,2,Other sellers,Other servicers,,,H,,2,N,7
453,759,202303,Y,205302,40484.0,30,1,P,95,40,299000,95,6.375,B,N,FRM,NH,SF,3800,F23Q10007187,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
454,698,202303,N,205302,40900.0,30,1,P,95,31,489000,95,6.5,B,N,FRM,CA,SF,95800,F23Q10007215,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
455,797,202303,N,205302,31084.0,25,1,P,90,37,691000,90,6.25,B,N,FRM,CA,SF,90300,F23Q10007219,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
456,740,202303,N,205302,47664.0,30,1,P,95,48,501000,95,6.37,C,N,FRM,MI,PU,48300,F23Q10007237,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
457,797,202303,N,205302,41740.0,25,1,P,90,43,877000,90,6.5,R,N,FRM,CA,PU,92100,F23Q10007240,P,360,2,U.S. BANK N.A.,U.S. BANK N.A.,Y,,9,,2,N,N
458,759,202303,Y,205302,12420.0,25,1,P,90,32,360000,90,6.5,C,N,FRM,TX,CO,78700,F23Q10007251,P,360,1,U.S. BANK N.A.,"ROCKET MORTGAGE, LLC",,,9,,2,N,N
459,734,202302,Y,205301,36740.0,0,1,P,80,44,312000,80,5.875,C,N,FRM,FL,PU,34700,F23Q10007271,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
460,686,202303,Y,205302,23104.0,0,1,P,80,33,187000,80,6.0,R,N,FRM,TX,SF,76100,F23Q10007300,P,360,2,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N,7
461,789,202303,N,205302,,0,1,P,51,29,555000,51,5.875,C,N,FRM,TX,PU,78600,F23Q10007333,N,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
462,814,202303,N,205302,16984.0,0,1,P,80,48,704000,80,6.125,C,N,FRM,IL,SF,60300,F23Q10007339,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,1,N,7
463,714,202303,Y,205302,31084.0,25,1,P,90,32,437000,90,6.875,R,N,FRM,CA,CO,90700,F23Q10007341,P,360,2,"PLANET HOME LENDING, LLC",FREEDOM MORTGAGE CORPORATION,,,9,,2,N,N
464,780,202303,Y,205302,37964.0,12,1,P,85,15,510000,85,5.875,C,N,FRM,PA,PU,19100,F23Q10007361,P,360,2,"PLANET HOME LENDING, LLC","PLANET HOME LENDING, LLC",,,9,,2,N,N
465,779,202303,N,205302,37860.0,0,1,P,80,49,559000,80,5.875,C,N,FRM,FL,SF,32500,F23Q10007378,P,360,2,"PLANET HOME LENDING, LLC","PLANET HOME LENDING, LLC",,,9,,2,N,7
466,780,202303,Y,205302,20940.0,0,1,P,80,20,172000,80,6.375,B,N,FRM,CA,MH,92200,F23Q10007381,P,360,1,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,7
467,670,202303,N,203802,33874.0,0,3,P,80,32,331000,80,5.874,C,N,FRM,PA,SF,19000,F23Q10007417,P,180,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
468,718,202303,N,204302,15540.0,0,1,P,60,49,246000,60,5.875,R,N,FRM,VT,SF,5400,F23Q10007429,C,240,1,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,7
469,778,202303,N,204302,,0,1,P,40,23,121000,40,6.375,R,N,FRM,MO,MH,65600,F23Q10007431,C,240,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,7
470,777,202303,Y,203802,,0,1,P,75,45,199000,75,5.99,C,N,FRM,IL,SF,62600,F23Q10007437,P,180,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,7
471,700,202303,Y,205302,38900.0,0,1,P,80,50,394000,80,6.375,R,N,FRM,OR,SF,97000,F23Q10007453,P,360,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,7
472,775,202303,Y,205302,47894.0,30,1,P,95,42,423000,95,5.5,B,N,FRM,VA,PU,20100,F23Q10007497,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
473,795,202303,N,205302,28140.0,0,1,P,72,30,103000,72,6.5,R,N,FRM,MO,SF,64000,F23Q10007508,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
474,799,202303,N,205302,23104.0,30,1,P,95,46,204000,95,6.375,R,N,FRM,TX,SF,76000,F23Q10007515,P,360,2,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N,N
475,739,202303,N,205302,16984.0,0,1,P,55,45,409000,55,6.375,R,N,FRM,IL,SF,60600,F23Q10007518,N,360,1,Other sellers,Other servicers,,,9,,2,N,7
476,700,202304,Y,205303,,25,1,P,97,25,63000,97,6.125,R,N,FRM,IL,SF,61900,F23Q10007523,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
477,731,202303,Y,205302,31540.0,30,1,P,95,27,181000,95,6.375,R,N,FRM,WI,SF,53500,F23Q10007525,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
478,747,202303,N,205302,39340.0,0,1,P,80,27,431000,80,4.875,R,N,FRM,UT,PU,84000,F23Q10007542,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
479,800,202303,N,205302,29404.0,0,1,P,44,24,190000,44,6.125,R,N,FRM,WI,PU,53100,F23Q10007585,P,360,4,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,Other servicers,,,9,,2,N,7
480,762,202303,Y,205302,12060.0,25,1,P,90,42,422000,90,6.5,R,N,FRM,GA,PU,30600,F23Q10007595,P,360,2,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
481,717,202303,Y,205302,40060.0,30,1,P,95,39,350000,95,7.125,R,N,FRM,VA,SF,23200,F23Q10007609,P,360,1,Other sellers,U.S. BANK N.A.,,,9,,2,N,N
482,761,202303,N,205302,40900.0,0,1,I,75,42,330000,75,6.99,R,N,FRM,CA,PU,95600,F23Q10007617,P,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
483,800,202303,N,205302,21340.0,0,1,S,75,18,174000,75,6.875,R,N,FRM,TX,SF,79900,F23Q10007635,P,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
484,804,202303,N,205302,49180.0,0,1,P,75,50,339000,75,5.75,R,N,FRM,NC,SF,27000,F23Q10007638,C,360,2,Other sellers,Other servicers,,,9,,2,N,7
485,782,202303,Y,205302,33460.0,35,1,P,97,40,325000,97,6.875,R,N,FRM,MN,SF,55000,F23Q10007648,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
486,783,202303,N,205302,40340.0,30,1,P,95,25,304000,95,6.375,R,N,FRM,MN,SF,55900,F23Q10007651,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
487,664,202303,N,205302,15180.0,0,1,P,50,33,76000,50,8.125,R,N,FRM,TX,SF,78500,F23Q10007666,C,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
488,779,202303,Y,205302,31140.0,0,1,P,80,39,101000,80,7.5,R,N,FRM,KY,CO,40200,F23Q10007667,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
489,808,202303,N,205302,44100.0,0,1,P,60,46,149000,60,5.875,R,N,FRM,IL,SF,62700,F23Q10007678,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
490,773,202303,N,205302,35614.0,0,1,P,79,25,726000,79,7.0,R,N,FRM,NY,CO,11300,F23Q10007699,C,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
491,695,202303,Y,205302,16620.0,0,1,P,80,37,36000,80,6.99,R,N,FRM,WV,SF,25300,F23Q10007705,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
492,760,202303,Y,205302,34980.0,25,1,P,90,16,302000,90,5.99,R,N,FRM,TN,SF,37000,F23Q10007714,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
493,745,202303,N,205302,38300.0,0,1,P,80,38,500000,80,6.0,R,N,FRM,PA,PU,15000,F23Q10007727,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
494,729,202303,Y,205302,47380.0,0,1,P,71,36,120000,71,6.25,R,N,FRM,TX,SF,76700,F23Q10007729,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N,7
495,688,202303,Y,205302,26380.0,12,1,P,90,26,113000,90,6.375,R,N,FRM,LA,SF,70300,F23Q10007740,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N,N
496,785,202303,Y,205302,14860.0,0,1,P,80,41,224000,80,6.875,R,N,FRM,CT,CP,6900,F23Q10007754,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
497,724,202303,Y,205302,47260.0,30,1,P,95,26,264000,95,6.625,R,N,FRM,VA,SF,23600,F23Q10007761,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
498,806,202303,N,205302,16984.0,0,1,P,80,31,190000,80,6.49,R,N,FRM,IL,PU,60100,F23Q10007765,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
499,728,202303,N,205302,28140.0,0,1,P,48,50,330000,48,6.375,R,N,FRM,KS,PU,66200,F23Q10007787,C,360,1,Other sellers,ARVEST BANK,,,9,,2,N,7
500,785,202303,N,205302,40380.0,0,1,P,60,36,81000,60,6.125,R,N,FRM,NY,SF,14600,F23Q10007810,P,360,1,Other sellers,Other servicers,,,H,,2,N,7
501,778,202303,N,205302,16740.0,0,1,P,75,37,379000,75,6.5,C,N,FRM,NC,SF,28000,F23Q10007828,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
502,723,202304,Y,205303,,0,1,P,80,25,105000,80,5.375,R,N,FRM,OH,SF,45600,F23Q10007829,P,360,1,Other sellers,Other servicers,,,H,,2,N,7
503,741,202303,Y,205302,33460.0,30,1,P,95,30,342000,95,6.25,R,N,FRM,MN,SF,55000,F23Q10007841,P,360,2,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,N
504,723,202303,Y,205302,,30,1,P,95,44,379000,95,5.875,R,N,FRM,TX,SF,78800,F23Q10007842,P,360,2,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,N
505,643,202303,N,205302,16740.0,0,1,P,67,45,290000,67,6.75,R,N,FRM,NC,PU,28100,F23Q10007851,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,7
506,700,202303,N,205302,33124.0,0,1,P,75,45,188000,75,6.5,R,N,FRM,FL,CO,33100,F23Q10007903,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
507,659,202303,Y,205302,36740.0,35,1,P,97,40,188000,97,6.562,R,N,FRM,FL,CO,32700,F23Q10007937,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
508,684,202303,N,205302,,30,1,P,92,27,230000,92,6.99,R,N,FRM,WY,SF,82700,F23Q10007954,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
509,698,202303,Y,205302,17300.0,30,1,P,95,20,169000,95,6.5,R,N,FRM,TN,SF,37000,F23Q10007958,P,360,4,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,N
510,726,202303,Y,205302,38300.0,30,1,P,95,37,224000,95,6.25,R,N,FRM,PA,SF,15200,F23Q10007970,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
511,715,202303,N,205302,20994.0,0,1,I,80,48,160000,80,7.625,R,N,FRM,IL,PU,60500,F23Q10008004,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
512,776,202303,N,205302,38060.0,25,1,P,90,49,152000,90,6.25,R,N,FRM,AZ,PU,85200,F23Q10008013,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
513,737,202303,Y,205302,14454.0,25,1,P,90,42,324000,90,6.5,C,N,FRM,MA,SF,2300,F23Q10008056,P,360,1,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,H,,2,N,N
514,623,202303,Y,205302,19124.0,0,1,P,80,29,248000,80,6.99,C,N,FRM,TX,SF,75000,F23Q10008059,P,360,2,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,9,,1,N,7
515,789,202303,Y,205302,,0,1,P,80,19,128000,80,6.25,C,N,FRM,OK,SF,74000,F23Q10008062,P,360,1,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,9,,1,N,7
516,727,202303,Y,205302,15380.0,25,1,P,90,44,149000,90,6.0,C,N,FRM,NY,SF,14100,F23Q10008072,P,360,1,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,H,,2,N,N
517,715,202303,Y,205302,44140.0,25,1,P,90,50,311000,90,6.45,C,N,FRM,MA,SF,1000,F23Q10008084,P,360,1,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,9,,2,N,N
518,774,202303,Y,205302,24860.0,30,1,P,95,40,318000,95,6.5,R,N,FRM,SC,PU,29600,F23Q10008121,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
519,706,202303,Y,205302,34100.0,0,1,P,60,46,70000,60,6.125,R,N,FRM,TN,SF,37700,F23Q10008145,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
520,797,202303,N,205302,27500.0,0,1,P,25,27,40000,25,6.5,R,N,FRM,WI,SF,53500,F23Q10008146,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
521,778,202303,N,205302,31140.0,0,1,I,75,37,68000,75,6.375,R,N,FRM,KY,SF,40200,F23Q10008147,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
522,767,202305,N,205303,,0,1,P,72,35,160000,72,6.5,R,N,FRM,KY,MH,42600,F23Q10008192,N,359,2,Other sellers,Other servicers,,,9,,2,N,7
523,689,202303,N,203802,41700.0,0,1,P,46,39,230000,46,5.75,R,N,FRM,TX,PU,78200,F23Q10008207,C,180,2,Other sellers,ARVEST BANK,,,9,,2,N,7
524,777,202303,N,205302,12060.0,30,1,P,95,34,238000,95,5.999,B,N,FRM,GA,PU,30000,F23Q10008224,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
525,716,202303,Y,205302,38860.0,35,1,P,97,39,330000,97,6.5,R,N,FRM,ME,SF,4000,F23Q10008254,P,360,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.",,,9,,2,N,N
526,795,202303,N,205302,24660.0,25,1,P,90,47,684000,90,6.375,R,N,FRM,NC,PU,27300,F23Q10008271,P,360,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.",,,9,,2,N,N
527,691,202303,N,205302,38300.0,0,1,P,54,45,190000,54,6.75,R,N,FRM,PA,SF,15100,F23Q10008304,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
528,753,202303,N,204302,26420.0,0,1,P,80,40,232000,80,5.99,R,N,FRM,TX,PU,77500,F23Q10008314,C,240,1,Other sellers,Other servicers,,,9,,2,N,7
529,749,202303,N,205302,29820.0,0,1,I,37,40,225000,37,6.125,R,N,FRM,NV,PU,89000,F23Q10008317,C,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
530,771,202305,Y,205304,,30,1,P,95,34,337000,95,5.725,R,N,FRM,MN,SF,55900,F23Q10008350,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
531,767,202303,N,205302,,0,1,P,80,37,400000,80,5.875,R,N,FRM,TN,SF,38400,F23Q10008363,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,1,N,7
532,710,202303,N,205302,35614.0,0,1,P,80,46,551000,80,5.999,B,N,FRM,NJ,SF,7600,F23Q10008370,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
533,687,202303,Y,205302,39340.0,30,1,P,95,41,462000,95,7.625,B,N,FRM,UT,SF,84000,F23Q10008408,P,360,4,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
534,696,202303,N,205302,26900.0,25,1,P,95,50,214000,95,6.625,R,N,FRM,IN,SF,46200,F23Q10008442,P,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,H,,2,N,N
535,661,202303,N,203802,23844.0,0,1,P,80,19,466000,80,5.875,R,N,FRM,IN,SF,46300,F23Q10008482,C,180,2,Other sellers,Other servicers,,,9,,2,N,7
